Top Goalscorer+Assister,Club,Individual Goals,Team Goals,Individual Assists,Team Assists,Total Individual G+A,Total Team G+A,Percentage,Result
R. Lewandoski,Bayern Munich,22,88,7,61,29,149,0.19,Champion
J. Sancho,Borussia Dortmund,12,81,14,59,26,140,0.19,Qualified for European Competition
T. Werner,RB Leipzig,16,63,7,40,23,103,0.22,Qualified for European Competition
K. Volland,Bayer Leverkusen,14,69,8,52,22,121,0.18,Qualified for European Competition
T. Hazard,Borussia Mönchengladbach,10,55,11,41,21,96,0.22,Qualified for European Competition
W. Weghorst,VfL Wolfsburg,17,62,6,38,23,100,0.23,Qualified for European Competition
S. Haller,Eintracht Frankfurt,15,60,9,42,24,102,0.24,Qualified for European Competition
M. Kruse,Werder Bremen,11,58,9,37,20,95,0.21,Upper Mid-Table
A. Kramarić,1899 Hoffenheim,17,70,3,47,20,117,0.17,Upper Mid-Table
B. Raman,Fortuna Dusseldorf,10,49,5,36,15,85,0.18,Lower Mid-Table
O. Duda,Hertha Berlin,11,59,5,33,16,92,0.17,Lower Mid-Table
J. Mateta,FSV Mainz 05,14,46,2,33,16,79,0.2,Lower Mid-Table
N. Petersen,SC Freiburg,10,46,3,25,13,71,0.18,Lower Mid-Table
D. Caligiuri,FC Schalke 04,7,37,3,21,10,58,0.17,Lower Mid-Table
A. Finnbogason,FC Augsburg,10,51,1,32,11,83,0.13,Lower Mid-Table
M. Gómez,VfB Stuttgart,8,34,2,26,10,60,0.17,Relegated
H. Weydandt & I. Bebou,Hannover 96,6,31,1,20,7,51,0.14,Relegated
M. Ishak,1. FC Nürnberg,4,26,3,15,7,41,0.17,Relegated
